latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-41.09283,175.78372,338.3,0.56,0.69,2026-05-21,117,N,VIIRS,n,2.0NRT,282.97,3.65,D
-46.24953,169.50998,326.46,0.39,0.36,2026-05-21,258,N,VIIRS,n,2.0NRT,283.07,3.28,D
-46.15331,169.55708,329.41,0.39,0.36,2026-05-21,258,N,VIIRS,n,2.0NRT,283.71,2.58,D
-46.08426,168.40788,330.33,0.38,0.36,2026-05-21,258,N,VIIRS,n,2.0NRT,279.64,2.13,D
-46.08094,168.4068,329.8,0.38,0.36,2026-05-21,258,N,VIIRS,n,2.0NRT,283.68,6.92,D
-42.41647,147.6328,327.21,0.78,0.78,2026-05-21,300,N,VIIRS,n,2.0NRT,275.56,13.11,D
-42.41448,147.62408,341.62,0.78,0.78,2026-05-21,300,N,VIIRS,n,2.0NRT,277.59,13.69,D
-41.32505,147.93599,367.0,0.75,0.77,2026-05-21,300,N,VIIRS,h,2.0NRT,297.01,218.21,D
-41.1137,147.6544,332.93,0.78,0.78,2026-05-21,300,N,VIIRS,n,2.0NRT,283.26,9.78,D
-41.11153,147.65846,345.17,0.78,0.78,2026-05-21,300,N,VIIRS,n,2.0NRT,282.57,8.97,D
-40.01415,175.4241,353.97,0.53,0.5,2026-05-21,300,N,VIIRS,n,2.0NRT,276.98,11.71,D
-37.45309,174.92799,337.84,0.58,0.52,2026-05-21,300,N,VIIRS,n,2.0NRT,286.1,3.61,D
-35.56142,148.22017,325.74,0.69,0.74,2026-05-21,302,N,VIIRS,n,2.0NRT,284.79,6.28,D
-35.55817,148.22301,354.35,0.69,0.74,2026-05-21,302,N,VIIRS,n,2.0NRT,287.07,13.47,D
-35.55111,148.22247,356.8,0.69,0.74,2026-05-21,302,N,VIIRS,l,2.0NRT,288.68,19.85,D
-34.46074,150.88617,327.91,0.48,0.65,2026-05-21,302,N,VIIRS,n,2.0NRT,290.89,4.4,D
-34.45993,150.88411,334.86,0.48,0.65,2026-05-21,302,N,VIIRS,n,2.0NRT,287.7,4.44,D
-33.91482,150.65324,328.55,0.49,0.65,2026-05-21,302,N,VIIRS,n,2.0NRT,290.55,3.57,D
-33.81101,149.16258,330.32,0.6,0.7,2026-05-21,302,N,VIIRS,n,2.0NRT,286.3,6.85,D
-33.81076,149.16905,349.07,0.6,0.7,2026-05-21,302,N,VIIRS,n,2.0NRT,286.71,6.85,D
-33.80766,149.16695,350.27,0.6,0.7,2026-05-21,302,N,VIIRS,n,2.0NRT,288.0,12.15,D
